,time,weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,capital_cities
136,2021-11-13,61,13.4,10.3,11.8,9.0,2021-11-13T07:55,2021-11-13T17:14,0.59,12,11.2,12.5,266,2.71,Paris
137,2021-11-14,80,12.8,8.8,10.8,7.2,2021-11-14T07:56,2021-11-14T17:13,0.46,15,11.7,12.3,1,3.23,Paris
138,2021-11-15,3,10.6,6.7,8.0,4.4,2021-11-15T07:58,2021-11-15T17:12,0.0,0,11.2,12.4,12,3.22,Paris
139,2021-11-16,3,8.3,6.8,6.1,4.6,2021-11-16T07:59,2021-11-16T17:11,0.02,1,6.9,4.2,351,1.99,Paris
140,2021-11-17,61,13.3,5.1,12.0,3.1,2021-11-17T08:01,2021-11-17T17:10,0.17,2,8.6,4.5,255,5.29,Paris
141,2021-11-18,3,12.3,5.8,10.6,4.3,2021-11-18T08:02,2021-11-18T17:09,0.0,0,6.5,5.5,249,5.09,Paris
142,2021-11-19,45,13.6,8.5,13.2,7.3,2021-11-19T08:04,2021-11-19T17:07,0.0,0,6.1,4.0,278,3.15,Paris
143,2021-11-20,45,12.5,8.9,11.4,8.4,2021-11-20T08:06,2021-11-20T17:06,0.01,1,4.4,4.4,301,5.39,Paris
144,2021-11-12,45,8.3,0.5,5.4,-2.3,2021-11-12T04:45,2021-11-12T14:44,0.0,0,9.2,7.8,156,6.88,Tbilisi
145,2021-11-13,45,13.5,0.1,11.4,-2.8,2021-11-13T04:46,2021-11-13T14:44,0.0,0,6.8,7.2,290,10.48,Tbilisi
146,2021-11-14,61,9.6,1.7,6.5,-1.2,2021-11-14T04:47,2021-11-14T14:43,0.11,3,13.6,4.1,150,7.86,Tbilisi
147,2021-11-15,61,14.6,2.9,11.3,0.7,2021-11-15T04:48,2021-11-15T14:42,0.13,3,27.3,5.0,329,9.85,Tbilisi
148,2021-11-16,61,13.8,2.3,8.3,-1.1,2021-11-16T04:49,2021-11-16T14:41,2.87,14,33.0,25.9,324,8.06,Tbilisi
149,2021-11-17,61,5.1,-1.3,1.4,-4.3,2021-11-17T04:51,2021-11-17T14:40,0.34,7,11.2,9.1,151,4.6,Tbilisi
150,2021-11-18,45,8.1,-2.1,4.6,-5.1,2021-11-18T04:52,2021-11-18T14:39,0.0,0,9.9,7.4,175,9.45,Tbilisi
151,2021-11-19,3,10.5,-1.4,8.2,-4.5,2021-11-19T04:53,2021-11-19T14:39,0.0,0,4.5,7.9,279,9.32,Tbilisi
152,2021-11-20,61,9.2,-1.5,5.7,-4.6,2021-11-20T04:54,2021-11-20T14:38,0.2,7,15.3,9.6,305,4.59,Tbilisi
153,2021-11-12,45,8.9,3.7,6.6,0.6,2021-11-12T07:21,2021-11-12T16:19,0.0,0,13.5,8.0,152,1.82,Berlin
154,2021-11-13,61,7.9,3.1,5.9,-0.2,2021-11-13T07:23,2021-11-13T16:18,0.39,5,10.7,6.2,155,3.06,Berlin
155,2021-11-14,61,7.4,3.8,4.8,1.7,2021-11-14T07:25,2021-11-14T16:16,0.22,4,9.8,4.5,55,2.78,Berlin
156,2021-11-15,3,6.6,4.7,3.6,2.0,2021-11-15T07:26,2021-11-15T16:15,0.1,9,10.9,14.7,87,2.08,Berlin
157,2021-11-16,45,8.1,2.6,5.7,-0.3,2021-11-16T07:28,2021-11-16T16:13,0.01,1,8.5,7.7,115,2.81,Berlin
158,2021-11-17,61,8.0,5.3,5.1,2.7,2021-11-17T07:30,2021-11-17T16:12,0.57,11,13.2,13.1,241,1.91,Berlin
159,2021-11-18,61,8.8,7.3,5.4,4.0,2021-11-18T07:32,2021-11-18T16:11,1.85,19,20.9,29.4,250,1.05,Berlin
160,2021-11-19,61,12.4,9.1,9.7,5.4,2021-11-19T07:33,2021-11-19T16:10,0.79,17,20.6,36.8,274,0.97,Berlin
161,2021-11-20,3,11.5,10.3,8.3,6.9,2021-11-20T07:35,2021-11-20T16:08,0.07,7,20.8,43.7,265,1.16,Berlin
162,2021-11-12,3,17.1,9.1,16.0,7.2,2021-11-12T06:01,2021-11-12T16:17,0.0,0,4.9,5.9,58,10.03,Athens
163,2021-11-13,3,16.6,6.9,14.9,4.8,2021-11-13T06:02,2021-11-13T16:16,0.0,0,5.5,6.6,67,11.03,Athens
164,2021-11-14,3,16.9,9.7,16.6,8.4,2021-11-14T06:03,2021-11-14T16:15,0.0,0,5.7,4.5,63,5.5,Athens
165,2021-11-15,3,18.4,11.5,16.8,10.2,2021-11-15T06:04,2021-11-15T16:14,0.01,1,12.5,14.1,53,8.37,Athens
166,2021-11-16,3,15.8,11.2,13.1,9.8,2021-11-16T06:05,2021-11-16T16:14,0.02,1,15.4,13.5,44,7.75,Athens
167,2021-11-17,3,16.3,9.5,14.7,8.2,2021-11-17T06:06,2021-11-17T16:13,0.0,0,7.8,9.0,56,7.65,Athens
168,2021-11-18,3,17.1,7.4,16.1,5.5,2021-11-18T06:07,2021-11-18T16:12,0.0,0,5.6,7.2,66,10.95,Athens
